,,train_name,station_name,station_code,id,train_number,departure
,,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,LUCKNOW JN,LJN,528666,12583,None
,,Ahmedabad Okha Passenger,AHMEDABAD JN,ADI,326373,59547,12:00:00
,,Bellary Guntakal Passenger,BELLARY JN,BAY,282548,57453,14:50:00
,,Malda Howrah Fast Passenger,MALDA TOWN,MLDT,307974,53004,17:15:00
,,Nainpur Mandla Fort Passenger,Nainpur Junction,NIR,56909,58861,17:40:00
,,Pune Bilaspur Superfast Express,PUNE JN,PUNE,308367,12850,17:40:00
,,GAYA JAMALPUR PASS,GAYA JN,GAYA,289602,53616,13:50:00
,,Vikarabad Secunderabad,VIKARABAD JN,VKB,313436,57606,10:55:00
,,JODHPUR - JAISALMER PASSENGER,JODHPUR JN,JU,528417,54820,08:30:00
,,Pune Solapur Passenger,PUNE JN,PUNE,16184,51455,22:50:00
,,Lalmati Express,PURULIA JN,PRR,281652,12866,14:45:00
,,Bikaner-Dadar Express,BIKANER JN,BKN,316792,12489,13:50:00
,,Shram Shakti Express,KANPUR CENTRAL,CNB,209432,12451,23:45:00
,,Buxar Mughal Sarai Passenger,BUXAR,BXR,314777,53213,04:00:00
,,Dhuri Jakhal Hisar Passenger,Hisar,HSR,273972,54631,17:30:00
,,Jabalpur Nir Nagpur Passenger,JABALPUR,JBP,309969,58840,20:30:00
,,Pune Bhubaneshwar Express,PUNE JN,PUNE,197165,12581,11:15:00
,,Karwar-Yeshvantpur Express,KARWAR,KAWR,308797,16516,05:30:00
,,LGL Ranaghat Passenger,Lalgola,LGL,268197,53156,17:40:00
,,Balamu Lucknow Passenger,BALAMU JN,BLM,315880,54332,07:50:00
,,MORADABAD  - RAMNAGAR PASSENGER,MORADABAD,MB,523483,55321,07:10:00
,,Kanpur Balamau Passenger,KANPUR CENTRAL,CNB,315890,54336,15:25:00
,,Nagercoil Cape Passenger,NAGERCOIL JN,NCJ,285793,56045,16:00:00
,,Indore-Bhopal Fast Passenger,INDORE JN BG,INDB,312210,59389,23:45:00
